Francais;Anglais
bonjour;hello/hey
éraflure;scratch
doute;doubt
mourir;passed on
insouciant;carefree
tas;bunch
suceur;cocksucker
s'installer;settle
ciselure;chasing
demain;tomorrow/morrow
savant;scholar
cliquetis;rattle
pouce;thumb
tabouret;stool
jubiler;to gloat
évêque;bishop
étonnant;astounding
gémissement;moan
plafond;ceiling
prudent;wary
fonctions;duties
gardien;custodian
